steps,update,ep_rew_mean,std,policy_loss,value_loss,entropy,approx_kl,clip_frac,p_lane_change
2048,1,2.20569932368429,0.6052480340003967,-0.0037527660344494505,0.8792830070015043,1.9927207577973605,0.0022604861936997623,0.027685546875,0.5699783563613892
4096,2,1.3118296789418766,0.6097013354301453,-0.006047384884732309,1.138333243317902,1.990693610161543,0.0025530080660246313,0.04013671875,0.5380588173866272
6144,3,1.9043519398720459,0.6078497767448425,-0.00825418356107548,0.9142287469934672,1.9626138806343079,0.008306586212711409,0.05693359375,0.5090237855911255
8192,4,2.1651389614665093,0.6085106134414673,-0.006943306044558994,1.1418626714497804,1.976371992379427,0.002711220347555354,0.033935546875,0.5255832672119141
10240,5,1.415729294119645,0.6102619171142578,-0.0058178448045509866,1.1391450385563076,1.9750934913754463,0.000902057474013418,0.04248046875,0.5217773914337158
12288,6,-0.1881946227994074,0.6121219992637634,-0.010268154363438952,1.2069519018754362,1.9744206931442023,0.0038167869788594544,0.07548828125,0.5108386874198914
14336,7,2.162960448827488,0.613345742225647,-0.007147680319030769,0.8876237797550857,1.9568160004913806,0.006793977483175695,0.059033203125,0.4812767207622528
16384,8,4.844968629141253,0.6179811954498291,-0.005732116015860811,0.4719722107518464,1.905750474706292,0.013366878888336941,0.08408203125,0.4216034412384033
18432,9,6.562662461386647,0.6155954599380493,-0.012960588141868356,0.2577413563383743,1.8939681384712457,0.012460061433375812,0.165673828125,0.4263641834259033
20480,10,11.183128546600706,0.611993670463562,-0.010260574513813481,1.1807288042269648,1.9109887592494488,0.006383379240287468,0.06201171875,0.44284820556640625
22528,11,12.09499832458672,0.6116777658462524,-0.009156581180286593,0.7327223662752658,1.8983089502900838,0.0043460500601213425,0.104296875,0.4309271574020386
24576,12,10.040971243110416,0.6127499341964722,-0.009672496825805866,1.207647322770208,1.857010730728507,0.012734815827570856,0.10009765625,0.41509559750556946
26624,13,12.018672234957197,0.6140381693840027,-0.005576486978679895,0.27338253644993527,1.8600422255694866,0.007293646998004988,0.091455078125,0.43928295373916626
28672,14,17.67141236264803,0.609300971031189,-0.013189756561769173,0.22373577909893355,1.8895297572016716,0.006932074573705904,0.102783203125,0.4598097801208496
30720,15,19.59584792633125,0.6084967255592346,-0.008456720710091759,0.47107183892512694,1.8683304760605097,0.010593171199434436,0.112353515625,0.46741783618927
32768,16,21.133072944090998,0.6051210761070251,-0.01072981946344953,0.14342125016264617,1.8643194105476142,0.007372105840477161,0.11533203125,0.45063894987106323
34816,17,24.446925859523567,0.6008769273757935,-0.0034966482227900995,0.10126746778259985,1.8420091804116965,0.008250811451580376,0.07041015625,0.4308200776576996
36864,18,27.177927332477218,0.5986884236335754,-0.011254852983984164,0.1329844321589917,1.8518397133797406,0.012902151423622854,0.12900390625,0.42980536818504333
38912,19,29.395227470016902,0.6013169288635254,-0.0035396914288867267,0.43201531925005837,1.8259805373847484,0.011065673365374095,0.07607421875,0.4103236198425293
40960,20,32.580659821782,0.5976511836051941,-0.007830449460016098,0.43733490660088137,1.8293337769806386,0.0046553720720112325,0.0724609375,0.4099242091178894
43008,21,36.27130486350998,0.5964816212654114,-0.00260602718917653,0.21989586267154665,1.8299089927226304,0.006066511917742901,0.050927734375,0.41736313700675964
45056,22,36.67462461100022,0.5920791625976562,-0.00551232634607004,0.14726803267549257,1.8332555629312992,0.00935605873237364,0.117431640625,0.40521958470344543
47104,23,37.102937126298556,0.5925778746604919,-0.0060387905294192025,0.17632799312705175,1.813373216986656,0.0044494735164335,0.083837890625,0.4171789288520813
49152,24,38.27806375503975,0.5914984345436096,-0.0077491719304816796,0.3847087185946293,1.8369279135018588,0.005193587599205784,0.111962890625,0.42157304286956787
51200,25,38.923931463473906,0.5906726121902466,-0.006274117578868754,0.5770098177017644,1.8322020754218102,0.007325256546027959,0.09912109375,0.43079549074172974
53248,26,37.222170954545916,0.5903728604316711,-0.002820564508147072,0.4475897544063628,1.8263481441885232,0.00679120110871736,0.0685546875,0.4083935618400574
55296,27,29.14052190088958,0.5917225480079651,-0.0077010895111016,1.92776513164863,1.8365849155932665,0.008858413371490315,0.079638671875,0.42068204283714294
57344,28,28.632520649347548,0.5911917686462402,-0.009504614596517058,0.6188467951258645,1.8205940712243318,0.00909922547871247,0.096484375,0.41625458002090454
59392,29,23.54801665406639,0.5925289392471313,-0.009323141798085998,1.1053371923044324,1.8373506233096122,0.009023468676605261,0.105419921875,0.4203861355781555
61440,30,23.050805050607273,0.5882801413536072,-0.009047268105496187,0.5346126190619543,1.7854157380759716,0.009031838158261963,0.131201171875,0.3867071270942688
63488,31,22.642869538696427,0.5878414511680603,-0.003638225184113253,0.5471309529151768,1.7506483279168605,0.010076271733851172,0.112841796875,0.3609057664871216
65536,32,24.07578397255379,0.5842486619949341,-0.006255761266584159,0.3630920101888478,1.7562425415962934,0.007051586103625595,0.08701171875,0.38418036699295044
67584,33,27.789692732721257,0.5836924910545349,-0.006218185435864143,0.7024673100095242,1.8057985551655293,0.005991277075372637,0.081591796875,0.4375463128089905
69632,34,30.937393650021306,0.5830973982810974,-0.0055463153927121315,0.6325086056720466,1.795058875158429,0.00555829746008385,0.07294921875,0.43340930342674255
71680,35,26.906211614766647,0.5826558470726013,-0.007333422612282448,2.5119875023141502,1.8228633835911752,0.012030813292949461,0.116796875,0.48769611120224
73728,36,25.978945719137823,0.5810074210166931,-0.0038129753833345604,1.2357970805373042,1.8164673767983914,0.007843136659357697,0.077734375,0.48021402955055237
75776,37,27.430608421749053,0.575421154499054,-0.0077564406368765045,0.2823081384645775,1.8033442616462707,0.004938310681609437,0.089599609375,0.4574560523033142
77824,38,25.396266338595673,0.5734623670578003,-0.005747523505124264,1.0286899037659167,1.7797534193843603,0.009074722940567881,0.1173828125,0.46029970049858093
79872,39,23.45479085734799,0.5709684491157532,-0.003493675167555921,1.6416872072964908,1.779824024811387,0.007944507518550381,0.119970703125,0.4663413166999817
81920,40,26.589486019623394,0.5657970905303955,-0.005682469108432997,0.5919951073592529,1.7933013688772916,0.006293447513598949,0.08916015625,0.5203136205673218
83968,41,30.90734722833696,0.5650724768638611,-0.010623497309279629,0.2230464458349161,1.768887424468994,0.008685485206660815,0.123876953125,0.5024824142456055
86016,42,33.511141151145225,0.5643163323402405,-0.010398307652212679,1.2918804083019495,1.752044601738453,0.005562237335834652,0.08095703125,0.47065064311027527
88064,43,36.35885002013401,0.5598746538162231,-0.005385345910326578,0.22183414064347745,1.7461377389729023,0.009401633206289261,0.092578125,0.47376692295074463
90112,44,33.61436032406215,0.5592515468597412,-0.006381687524844892,0.8923354727216065,1.7662853378802539,0.005545777594670653,0.103076171875,0.4938647150993347
92160,45,36.80986432784633,0.5560494065284729,-0.01197281307540834,0.5796211379347369,1.760272193327546,0.007065109434188343,0.0962890625,0.5160249471664429
94208,46,34.62648301358804,0.552496075630188,-0.0036250971446861514,0.7157357348361983,1.739286945015192,0.007553817477310076,0.074169921875,0.4857381284236908
96256,47,39.8014340377047,0.5490800142288208,-0.00478012060339097,0.375560941779986,1.6908815428614616,0.008156564855016767,0.099951171875,0.4704989492893219
98304,48,40.999661685426034,0.5481131672859192,-0.005313950875279261,0.724301039124839,1.7205325912684202,0.006280390918254853,0.088134765625,0.5997284650802612
