steps,update,ep_rew_mean,std,policy_loss,value_loss,entropy,approx_kl,clip_frac
2048,1,8.040919120907304,0.6049495339393616,-0.009199426682607736,0.2040349840768613,0.9172810047864914,0.01432258914283011,0.126953125
4096,2,6.6392210227427935,0.6074543595314026,-0.005000913143157959,0.8795122587122023,0.9185388905927538,0.002136792011151556,0.051220703125
6144,3,7.758207095977757,0.6059311628341675,-0.00586273187363986,0.8841608996503055,0.919559477455914,0.00229297323821811,0.061669921875
8192,4,9.685349492998892,0.603472888469696,-0.0032095897535327823,0.30630226735956967,0.9166912425309419,0.0028354829191812314,0.026171875
10240,5,6.911299350815774,0.600028932094574,-0.007985151995671912,0.4225742005743086,0.9113948747515679,0.0032734304506448096,0.04287109375
12288,6,9.733204796373839,0.6000833511352539,-0.004499746265355498,0.24894050951115787,0.9088770862668752,0.0004962958599207922,0.044189453125
14336,7,10.260023119864107,0.6003624200820923,-0.002043976075947285,0.28731689797714355,0.9086184872314333,0.0020461523105041123,0.023779296875
16384,8,10.309699923175566,0.5980662107467651,-0.0016759568723500706,0.3374067503958941,0.9068381236866117,0.0021288141433615237,0.023876953125
18432,9,10.153104531811469,0.5968323349952698,-0.0025242112329578958,0.43147997041232883,0.9034750005230308,0.004360405658371746,0.020703125
20480,10,8.595362861385919,0.5960261821746826,-0.007766216291929595,0.816994861420244,0.9018363451585174,0.004552291997242719,0.043212890625
22528,11,10.312420607678225,0.5936847925186157,-0.00042455869552213696,0.5089992944616825,0.8991797052323818,0.001620315019681584,0.023779296875
24576,12,9.82292819932185,0.5914252400398254,-0.0025673887634184212,0.5277827415149658,0.8954507922753692,0.002962903330626432,0.030224609375
26624,13,10.289222381977789,0.5920619368553162,-0.0024402078881394116,0.51577402302064,0.8946334607899189,0.0013480687484843656,0.021142578125
28672,14,10.901689308000293,0.5913688540458679,-0.0015271632248186507,0.5497910257428884,0.8944900933653116,0.00220792606996838,0.023095703125
30720,15,9.772297511758584,0.594251811504364,-0.0025787684484384955,0.5126516186166554,0.8957872692495584,0.004083798456122167,0.0375
32768,16,10.309514488423654,0.5928649306297302,-0.0016220974532188848,0.563963609514758,0.8973773730918765,0.0030918773802113718,0.0234375
34816,17,10.343475545431728,0.5971593260765076,-0.00030100544536253436,0.5827718120068311,0.8999881440773606,0.0018235938172438183,0.008837890625
36864,18,10.894545808602592,0.5960251688957214,-0.0023114595474908128,0.5386568704620004,0.9027565475553274,0.0017067393288016318,0.034375
38912,19,9.23006138134585,0.596107006072998,-0.0019087149907136337,0.6012246112339199,0.9018925881013274,0.0019900380604667587,0.020068359375
40960,20,8.67173012301591,0.594658613204956,-0.0025670943345176057,0.5375090827699751,0.899959071725607,0.0027445155297755263,0.029150390625
43008,21,9.76752522421584,0.5924227833747864,-0.0041599500545999035,0.5041048719547689,0.8969065383076668,0.004123029691982083,0.04208984375
45056,22,10.303004322455232,0.5943974256515503,-0.0011750699748517945,0.5149908777326345,0.8973105933517218,0.002469101853785105,0.027783203125
47104,23,9.79226276712556,0.5943167209625244,-0.0017219059867784382,0.49386305660009383,0.8990557296201587,0.003158477184479125,0.027294921875
49152,24,10.309997049334907,0.593197762966156,-0.003535278924391605,0.5768255812581629,0.8975449215620757,0.0028694294931483457,0.0455078125
51200,25,10.384094329460968,0.5897358655929565,-0.0013228234223788605,0.600422022677958,0.8933098383247853,0.0018207664950750768,0.029541015625
53248,26,10.339454385668319,0.5867049694061279,-0.00239867125346791,0.5401734101120382,0.8884416677057743,0.0026240716615575366,0.02412109375
55296,27,10.868782774803615,0.5863599181175232,-0.0034671707049710675,0.5784179905429483,0.8860491206869483,0.0045344398196903056,0.05263671875
57344,28,9.794454965260968,0.5834334492683411,-0.002416801219806075,0.5492044297978282,0.8824087269604206,0.004535069481062237,0.034521484375
59392,29,10.323541663915666,0.5835227370262146,-0.002988317733979784,0.46736047714948653,0.8800330568104983,0.005332123505650088,0.054931640625
61440,30,10.332351083331726,0.5803762674331665,-0.0024315231639775448,0.5471196023747324,0.8781085534021258,0.0019690464017912746,0.028369140625
63488,31,9.212539960147293,0.5819188952445984,-0.002198616275563836,0.5232864700257778,0.8762719720602036,0.005029632724472322,0.019140625
65536,32,9.742607164902955,0.5788705945014954,-0.0019849471893394364,0.5903339393436908,0.8748516064137221,0.0020799316625925712,0.016650390625
67584,33,10.363509385246314,0.5797078013420105,-0.00020988965115975589,0.5243050017394125,0.8731195129454136,0.0019545969655155203,0.018701171875
69632,34,9.83301596042497,0.5796976685523987,-0.0014552703200024554,0.5497375119011849,0.8738425336778164,0.00374298647075193,0.025048828125
71680,35,9.782893287445246,0.5791329741477966,-0.003699339978629723,0.6001276891678572,0.873317445628345,0.005695109053340275,0.04873046875
73728,36,10.856523849308108,0.5777592062950134,-0.0022516161581734194,0.533657480077818,0.8718447711318731,0.0029155843905755317,0.030029296875
75776,37,10.852822720646214,0.5764219760894775,-0.0051171829138183965,0.6264249619096518,0.8691685646772385,0.0018327815691009165,0.050439453125
77824,38,10.909184034294636,0.5807902812957764,-0.0026508254668442532,0.5381999230012298,0.8718031127005815,0.0020581058750394733,0.027880859375
79872,39,10.849476701682821,0.5830814242362976,-0.002909664022445213,0.5201539254747332,0.8770798897370696,0.007580004539340735,0.041943359375
81920,40,9.209059451050516,0.581290602684021,-0.001538234660984017,0.5594719287473708,0.8779300047084689,0.0040869501390261576,0.032666015625
83968,41,10.343829551535542,0.5789730548858643,-0.0032127838057931513,0.5044498438481242,0.8742807703092694,0.0037373205093899744,0.030078125
86016,42,10.235756205116695,0.5817693471908569,-0.0010250846768030896,0.5511366833932698,0.8748978996649385,0.0027528174687176943,0.01435546875
88064,43,8.664348659155323,0.5815929770469666,-0.0023162309327744877,0.6020422401838005,0.8771232394501567,0.0033169736358104273,0.0353515625
90112,44,10.834281979006601,0.5794994235038757,-0.0025442523357924072,0.5277428034227342,0.8748659642413259,0.0019652197923278438,0.032861328125
92160,45,9.276182218716553,0.581122636795044,-0.001368461170932278,0.5526498593389988,0.8746513454243541,0.002688519204093609,0.015234375
94208,46,9.201230843258022,0.5853702425956726,-0.003162455413257703,0.5166281438898295,0.879902309551835,0.004957915285194759,0.034814453125
96256,47,10.88456644260373,0.582837700843811,-0.0007049406587611884,0.5872474364936352,0.8812949480488896,0.002809047570917755,0.0255859375
98304,48,9.752123130024007,0.5826601386070251,-0.0025450148663367146,0.5622597325127572,0.879419077001512,0.002792537264758721,0.03701171875
100352,49,9.216845650834632,0.5821646451950073,-0.0021198781854764094,0.523339091334492,0.8780280793085694,0.004661769347148947,0.02939453125
102400,50,9.760326180278291,0.5833910703659058,-0.0016609756654361262,0.5630224292166531,0.8791540006175638,0.0035071964462986215,0.022998046875
104448,51,10.930551729219392,0.5831770896911621,-0.0023515165434218944,0.49767521866597236,0.8795528776943684,0.00201457019575173,0.03955078125
106496,52,9.747581328231153,0.5813621878623962,-0.0007369307655608282,0.5154015011619777,0.8783213116228581,0.0028596155083505438,0.02568359375
108544,53,10.377354363325757,0.5861390829086304,-0.005196217396587599,0.62498216368258,0.8803775157779455,0.005257597836316563,0.042529296875
110592,54,10.901342807074268,0.5841518640518188,-0.001504358019155916,0.5749836284667253,0.8828122027218341,0.001643231458729133,0.024462890625
112640,55,10.319571896738946,0.5805025696754456,-0.0012488933134591207,0.6122906744014471,0.8779440958052873,0.002964884853281546,0.018896484375
114688,56,9.805173540660869,0.5783863067626953,-0.0011857968696858735,0.5312816901598125,0.8728167219087481,0.0036676162140793166,0.027001953125
116736,57,10.929406228322467,0.5840672254562378,-0.002167417752207257,0.5793043340556323,0.8761444056406618,0.001038270239951089,0.0337890625
118784,58,10.262982223014141,0.5844082236289978,-0.0018434283148963005,0.5858342599123716,0.8815541788935661,0.00219481629319489,0.02353515625
120832,59,10.88834729862504,0.5829952955245972,-0.0023103985091438516,0.5599042033776641,0.8809731246903538,0.005997959757223725,0.03447265625
122880,60,9.802438898920705,0.5863327980041504,-0.002651900571072474,0.5927685263566673,0.8825484918430447,0.0017417011695215479,0.0267578125
124928,61,10.85320299008146,0.5918204188346863,-0.00253346762037836,0.5731650492642075,0.8905583618208766,0.007792365636851173,0.035498046875
126976,62,10.362597203699831,0.5910149812698364,-0.0006902921653818339,0.5777412179391831,0.893772161193192,0.0012762110243784263,0.01005859375
129024,63,10.890100050920886,0.5916515588760376,-0.0025120395701378586,0.5481647744309157,0.8934932375326753,0.003211213414033409,0.030224609375
131072,64,9.227766560083936,0.5923494100570679,-0.0012627084797713906,0.5971789107192308,0.8945735054090619,0.00023673455725656823,0.019970703125
133120,65,10.374461198557825,0.5989434123039246,-0.0011598983546718955,0.5479060765355825,0.9008522797375917,0.0031158235913608225,0.0099609375
135168,66,10.300278478429778,0.5974197387695312,-0.0025905632428475656,0.5060420115012676,0.9051388734951615,0.0011864333791891113,0.025634765625
137216,67,9.243923794786358,0.5975269079208374,-0.0012372061901260167,0.5268777253571898,0.9040303200483322,0.0034213149920105934,0.01474609375
139264,68,9.841497691498144,0.5994415879249573,-0.0010359259889810347,0.49062767359428106,0.905881954729557,0.0024550014844862745,0.0203125
